Block,Field,US,UK English,Dansk (DK),Svenska (SE),Norsk (NO),Suomi (FI),Deutschland (DE)
,Placeholder,"e.g. Mortgage 4.8%, fixed to 2030","e.g. HSBC mortgage 4.8%, fixed to 2030","f.eks. Realkredit 4,8%, fast til 2030","t.ex. Bolån 4,8%, bundet till 2030","f.eks. Boliglån 4,8%, fast til 2030","esim. Asuntolaina 4,8%, kiinteä 2030 asti",
,,,,,,,,
E,Headline,Retirement Accounts,Pensions,Pension,Pension,Pensjon,Eläkkeet,
,Subtitle,Retirement savings you normally can’t touch until retirement age. Enter the balance shown on your latest statement.,Retirement savings you normally can’t touch until pension age. Enter the balance shown on your latest statement.,Pensionsopsparing du normalt først kan bruge ved pensionsalderen. Skriv saldoen fra din seneste opgørelse.,Pensionssparande du normalt inte kommer åt förrän vid pensionsåldern. Skriv saldot från ditt senaste besked.,Pensjonssparing du normalt ikke får tilgang til før pensjonsalder. Skriv saldoen fra siste oversikt.,"Eläkesäästöt, joihin pääset yleensä vasta eläkeiässä. Kirjaa viimeisimmän otteen saldo.",
,Examples,"401(k), 403(b), traditional and Roth IRA, pensions from previous employers, HSA earmarked for retirement","Workplace pension (defined contribution), personal pension or SIPP, pots from previous employers, AVCs","Arbejdsmarkedspension, ratepension, aldersopsparing, livrente med opgjort depot, ATP-opsparing, pensioner fra tidligere job","Tjänstepension, privat pensionssparande, premiepension (fondvärdet i orange kuvertet), pensioner från tidigare arbetsgivare","Innskuddspensjon, pensjonskapitalbevis fra tidligere jobber, IPS, egen pensjonssparing","Vapaaehtoinen eläkevakuutus, PS-tili, työnantajan lisäeläkejärjestely, aiempien työnantajien eläkesäästöt",
,NotHere,"Not here: Social Security. It pays a monthly income for life — it is not a balance you own, and entering it will badly distort your net worth. Same for any old-style pension that promises a monthly amount rather than a pot.","Not here: the State Pension, or a final-salary (defined benefit) pension. Those pay a monthly income for life — they are not a balance you own, and entering them will badly distort your net worth.","Ikke her: folkepension og den livsvarige ATP-ydelse. De udbetales som et månedligt beløb — det er ikke en opsparing du ejer, og tallet vil forvrænge din formue.","Inte här: inkomstpensionen i den allmänna pensionen — den redovisas som ett belopp per månad, inte som kapital du äger. Premiepensionen har däremot ett verkligt fondvärde och kan tas med.",Ikke her: alderspensjon fra folketrygden. Den utbetales som et månedlig beløp og er ikke kapital du eier. Ytelsespensjon som lover en månedlig sum hører heller ikke hjemme her.,Ei tähän: työeläke ja kansaneläke. Ne maksetaan kuukausittaisena eläkkeenä eivätkä ne ole omistamaasi pääomaa — niiden kirjaaminen vääristää varallisuutesi pahasti.,
,Tip,"The rule: only pots with a balance. If your statement gives you a monthly amount for life instead of a total, it’s income — leave it out and lower your retirement spending target instead. Enter values before tax; the planner has a separate tax setting.","The rule: only pots with a balance. If your statement gives you a monthly amount for life instead of a total, it’s income — leave it out and lower your retirement spending target instead. Enter values before tax; the planner has a separate tax setting.","Reglen: kun opsparinger med en saldo. Giver din opgørelse et månedligt beløb livsvarigt i stedet for et samlet tal, er det indkomst — lad det stå udenfor og sænk i stedet dit forbrugsmål som pensionist. Skriv beløb før skat; planlæggeren har en særskilt skatteindstilling.",Regeln: bara kapital med ett saldo. Ger ditt besked ett månadsbelopp livet ut i stället för en totalsumma är det inkomst — utelämna det och sänk i stället ditt utgiftsmål som pensionär. Skriv belopp före skatt; planeraren har en egen skatteinställning.,"Regelen: bare pensjonskapital med saldo. Gir oversikten din et månedlig beløp livet ut i stedet for en totalsum, er det inntekt — hold det utenfor og senk heller forbruksmålet ditt som pensjonist. Skriv beløp før skatt; planleggeren har en egen skatteinnstilling.","Sääntö: vain saldolliset eläkesäästöt. Jos otteesi antaa kuukausisumman eliniäksi kokonaissumman sijaan, kyse on tulosta — jätä se pois ja laske sen sijaan eläkeajan kulutustavoitettasi. Kirjaa summat ennen veroja; suunnittelijassa on erillinen veroasetus.",
,Placeholder,e.g. 401(k) — Fidelity,e.g. Aviva workplace pension (DC),"f.eks. Arbejdsmarkedspension, PFA","t.ex. Tjänstepension, Alecta","f.eks. Innskuddspensjon, Storebrand","esim. Vapaaehtoinen eläkevakuutus, Ilmarinen",
,,,,,,,,
J,Headline,Monthly Income,Monthly Income,Månedlig indkomst,Månatlig inkomst,Månedlig inntekt,Kuukausitulot,
,Subtitle,"What actually lands in your account each month, after tax and after retirement contributions are taken out.","What actually lands in your account each month, after tax and after pension contributions are taken out.",Det der rent faktisk går ind på din konto hver måned — efter skat og efter pensionsindbetaling.,Det som faktiskt landar på ditt konto varje månad — efter skatt och efter pensionsavsättning.,Det som faktisk kommer inn på kontoen din hver måned — etter skatt og etter pensjonsinnbetaling.,Se mikä oikeasti tulee tilillesi joka kuukausi — verojen ja eläkemaksujen jälkeen.,
,Examples,"Net salary (yours, and your partner’s if you plan together), regular freelance or side income, rent received after costs, dividends or interest, child support received, an annual bonus divided by 12","Net salary (yours, and your partner’s if you plan together), regular freelance or side income, rent received after costs, dividends or interest, Child Benefit, maintenance received, an annual bonus divided by 12","Nettoløn (din, og din partners hvis I planlægger sammen), fast freelance- eller bijobindkomst, lejeindtægt efter udgifter, udbytte eller renter, børne- og ungeydelse, børnebidrag, årlig bonus divideret med 12","Nettolön (din, och din partners om ni planerar ihop), regelbunden frilans- eller extrainkomst, hyresintäkt efter kostnader, utdelning eller ränta, barnbidrag, underhållsstöd, årlig bonus delat med 12","Nettolønn (din, og partnerens hvis dere planlegger sammen), fast frilans- eller ekstrainntekt, leieinntekt etter kostnader, utbytte eller renter, barnetrygd, barnebidrag, årlig bonus delt på 12","Nettopalkka (sinun ja kumppanisi, jos suunnittelette yhdessä), säännöllinen freelance- tai sivutulo, vuokratulo kulujen jälkeen, osingot tai korot, lapsilisä, elatusapu, vuosibonus jaettuna 12:lla",
,NotHere,Not here: one-off amounts like an inheritance or the proceeds of a house sale — those belong in whichever asset block they end up in.,Not here: one-off amounts like an inheritance or the proceeds of a house sale — those belong in whichever asset block they end up in.,"Ikke her: engangsbeløb som arv eller provenu fra et boligsalg — de hører til i det aktivfelt, hvor pengene ender.",Inte här: engångsbelopp som arv eller pengar från en bostadsförsäljning — de hör hemma i det tillgångsblock där pengarna hamnar.,Ikke her: engangsbeløp som arv eller oppgjør fra et boligsalg — de hører hjemme i det eiendelsfeltet pengene havner i.,"Ei tähän: kertaluonteiset erät kuten perintö tai asuntokaupan tuotto — ne kuuluvat siihen varallisuuslohkoon, johon rahat päätyvät.",
,Tip,"Use a normal month. Anything annual, divide by 12. One row per source — the AI analysis can then see where your money actually comes from.","Use a normal month. Anything annual, divide by 12. One row per source — the AI analysis can then see where your money actually comes from.",Brug en normal måned. Alt årligt divideres med 12. Én række pr. kilde — så kan AI-analysen se hvor dine penge faktisk kommer fra.,Utgå från en normal månad. Allt som är årligt delas med 12. En rad per källa — då ser AI-analysen var pengarna faktiskt kommer ifrån.,Bruk en normal måned. Alt som er årlig deles på 12. Én rad per kilde — da ser AI-analysen hvor pengene dine faktisk kommer fra.,Käytä tavallista kuukautta. Vuosittaiset jaetaan 12:lla. Yksi rivi per lähde — silloin AI-analyysi näkee mistä rahasi oikeasti tulevat.,
,Placeholder,e.g. Net salary (after tax),e.g. Net salary (after tax),f.eks. Nettoløn (efter skat),t.ex. Nettolön (efter skatt),f.eks. Nettolønn (etter skatt),esim. Nettopalkka (verojen jälkeen),
,,,,,,,,
K,Headline,Monthly Spending,Monthly Outgoings,Månedlige udgifter,Månatliga utgifter,Månedlige utgifter,Kuukausittaiset menot,
,Subtitle,"What leaves your account in a normal month — housing, living costs, loan payments and insurance.","What leaves your account in a normal month — housing, living costs, loan payments and insurance.","Det der forlader din konto i en normal måned — bolig, leveomkostninger, låneydelser og forsikringer.","Det som lämnar ditt konto en normal månad — boende, levnadskostnader, lånebetalningar och försäkringar.","Det som forlater kontoen din i en normal måned — bolig, levekostnader, lånebetalinger og forsikringer.","Se mikä lähtee tililtäsi tavallisessa kuukaudessa — asuminen, eläminen, lainanhoito ja vakuutukset.",
,Examples,"Rent or mortgage payment, HOA fee, property tax, utilities, phone and internet, groceries, transportation and gas, insurance, childcare, subscriptions, healthcare, clothes and hobbies, vacations (annual cost ÷ 12)","Rent or mortgage payment, service charge, council tax, energy and water, phone and broadband, food, transport and fuel, insurance, childcare, subscriptions, healthcare, clothes and hobbies, holidays (annual cost ÷ 12)","Husleje eller låneydelse, ejerforeningsbidrag, ejendomsskat, el/vand/varme, telefon og internet, dagligvarer, transport og brændstof, forsikringer, børnepasning, abonnementer, sundhed, tøj og fritid, ferie (årlig udgift ÷ 12)","Hyra eller bolånebetalning, avgift till bostadsrättsföreningen, fastighetsavgift, el och vatten, telefon och bredband, mat, transport och drivmedel, försäkringar, barnomsorg, abonnemang, vård, kläder och fritid, semester (årlig kostnad ÷ 12)","Husleie eller lånebetaling, felleskostnader, kommunale avgifter, strøm og vann, telefon og bredbånd, mat, transport og drivstoff, forsikringer, barnehage/SFO, abonnementer, helse, klær og fritid, ferie (årlig kostnad ÷ 12)","Vuokra tai lainanmaksu, hoitovastike, kiinteistövero, sähkö ja vesi, puhelin ja nettiyhteys, ruoka, liikkuminen ja polttoaine, vakuutukset, lastenhoito, tilaukset, terveydenhuolto, vaatteet ja harrastukset, lomat (vuosikulu ÷ 12)",
,NotHere,"Not here: money you move into savings, investments or a retirement account. That isn’t spent, it’s moved — and keeping it out is what makes your surplus figure mean something.","Not here: money you move into savings, investments or a pension. That isn’t spent, it’s moved — and keeping it out is what makes your surplus figure mean something.","Ikke her: penge du flytter til opsparing, investering eller pension. De er ikke brugt, kun flyttet — og det er netop det, der gør dit overskud meningsfuldt.","Inte här: pengar du för över till sparande, investeringar eller pension. De är inte spenderade utan flyttade — och det är just därför ditt överskott blir meningsfullt.","Ikke her: penger du flytter til sparing, investering eller pensjon. De er ikke brukt, bare flyttet — og det er nettopp det som gjør overskuddet ditt meningsfullt.","Ei tähän: rahat, jotka siirrät säästöön, sijoituksiin tai eläkkeeseen. Niitä ei ole kulutettu, vain siirretty — ja juuri siksi ylijäämäsi on merkitsevä.",
,Tip,"Your surplus (income − spending) is what the planner assumes you invest each year, so make this block complete. If the total looks too low, check your statements for annual costs you’ve forgotten — insurance, car service, holidays, Christmas.","Your surplus (income − outgoings) is what the planner assumes you invest each year, so make this block complete. If the total looks too low, check your statements for annual costs you’ve forgotten — insurance, car service, holidays, Christmas.","Dit overskud (indkomst − udgifter) er det, planlæggeren antager du investerer hvert år, så gør feltet komplet. Ser summen for lav ud, så tjek kontoudtog for årlige udgifter du har glemt — forsikring, bilsyn, ferie, jul.","Ditt överskott (inkomst − utgifter) är det planeraren antar att du investerar varje år, så gör blocket komplett. Ser summan för låg ut, kolla kontoutdrag efter årliga kostnader du glömt — försäkring, bilservice, semester, jul.","Overskuddet ditt (inntekt − utgifter) er det planleggeren antar at du investerer hvert år, så gjør feltet komplett. Ser summen for lav ut, sjekk kontoutskrifter for årlige kostnader du har glemt — forsikring, bilservice, ferie, jul.","Ylijäämäsi (tulot − menot) on se, minkä suunnittelija olettaa sinun sijoittavan vuosittain, joten täytä lohko huolella. Jos summa näyttää liian pieneltä, tarkista tiliotteista unohtuneet vuosikulut — vakuutukset, katsastus, lomat, joulu.",
,Placeholder,e.g. Mortgage payment,e.g. Mortgage payment,f.eks. Ydelse på realkreditlån,t.ex. Bolånebetalning,f.eks. Lånebetaling bolig,esim. Asuntolainan maksuerä,
,,,,,,,,
G,Headline,Goals and Goal Status,Goals and Goal Status,Mål,Mål,Mål,Tavoitteet,
,Subtitle,"What you are saving towards. First number is what it will cost in total, second is how much you have put aside so far.","What you are saving towards. First number is what it will cost in total, second is how much you have put aside so far.","Det du sparer op til. Første tal er hvad det koster i alt, andet tal er hvor meget du har lagt til side indtil nu.","Det du sparar till. Första siffran är vad det kostar totalt, andra är hur mycket du lagt undan hittills.","Det du sparer til. Første tall er hva det koster totalt, andre er hvor mye du har lagt til side så langt.","Se mitä varten säästät. Ensimmäinen luku on kokonaishinta, toinen on tähän mennessä säästetty summa.",
,Examples,"Down payment on a bigger home, a second or electric car, a long trip, kitchen or bathroom renovation, a sabbatical, paying off the mortgage early, college fund, building a 6-month emergency fund","Deposit on a bigger home, a second or electric car, a long trip, kitchen or bathroom renovation, a sabbatical, paying off the mortgage early, university fund, building a 6-month emergency fund","Udbetaling til større bolig, bil nummer to eller elbil, en længere rejse, nyt køkken eller bad, orlov, at betale realkreditlånet hurtigere ud, opsparing til børnenes uddannelse, en buffer på 6 måneders udgifter","Kontantinsats till större bostad, andra eller elbil, en längre resa, nytt kök eller badrum, tjänstledighet, att lösa bolånet snabbare, sparande till barnens studier, en buffert på 6 månaders utgifter","Egenkapital til større bolig, bil nummer to eller elbil, en lengre reise, nytt kjøkken eller bad, permisjon, å nedbetale boliglånet raskere, sparing til barnas utdanning, en buffer på 6 måneders utgifter","Käsiraha isompaan asuntoon, toinen auto tai sähköauto, pitkä matka, keittiö- tai kylpyhuoneremontti, vuorotteluvapaa, asuntolainan nopeampi maksu, lasten opintosäästöt, 6 kuukauden puskuri",
,Tip,"Put the year in the name, e.g. “New kitchen, 2028”. The AI advisory uses it to tell you whether your timing is realistic.","Put the year in the name, e.g. “New kitchen, 2028”. The AI advisory uses it to tell you whether your timing is realistic.","Skriv årstallet i navnet, f.eks. “Nyt køkken, 2028”. AI-rådgivningen bruger det til at vurdere om din tidsplan er realistisk.","Skriv årtalet i namnet, t.ex. “Nytt kök, 2028”. AI-rådgivningen använder det för att bedöma om din tidsplan är realistisk.","Skriv årstallet i navnet, f.eks. “Nytt kjøkken, 2028”. AI-rådgivningen bruker det til å vurdere om tidsplanen din er realistisk.","Kirjoita vuosiluku nimeen, esim. “Uusi keittiö, 2028”. AI-neuvonta käyttää sitä arvioidakseen onko aikataulusi realistinen.",
,Placeholder,e.g. Bigger home by 2031,e.g. Bigger flat by 2031,f.eks. Større bolig i 2031,t.ex. Större bostad 2031,f.eks. Større bolig i 2031,esim. Isompi asunto 2031,
,,,,,,,,
H,Headline,My Notes,My Notes,Mine noter,Mina anteckningar,Mine notater,Muistiinpanoni,
,Subtitle,"Anything the numbers don’t capture — a job change coming, an inheritance you expect, a separation, a child starting college.","Anything the numbers don’t capture — a job change coming, an inheritance you expect, a separation, a child starting university.","Alt det tallene ikke fanger — et jobskifte på vej, en arv du forventer, en skilsmisse, et barn der skal læse.","Allt som siffrorna inte fångar — ett jobbyte på gång, ett arv du väntar, en separation, ett barn som ska studera.","Alt tallene ikke fanger — et jobbskifte på gang, en arv du venter, et samlivsbrudd, et barn som skal studere.","Kaikki mitä luvut eivät kerro — tuleva työpaikan vaihto, odotettu perintö, ero, lapsen opintojen alku.",
,Tip,Write these in full sentences — the AI advisory reads them and will factor them into its recommendations.,Write these in full sentences — the AI advisory reads them and will factor them into its recommendations.,Skriv i hele sætninger — AI-rådgivningen læser dem og tænker dem ind i sine anbefalinger.,Skriv i hela meningar — AI-rådgivningen läser dem och väger in dem i sina rekommendationer.,Skriv i hele setninger — AI-rådgivningen leser dem og tar dem med i anbefalingene.,Kirjoita kokonaisin lausein — AI-neuvonta lukee ne ja ottaa ne huomioon suosituksissaan.,
,Placeholder,e.g. Changing jobs in spring,e.g. Changing jobs in spring,f.eks. Skifter job til foråret,t.ex. Byter jobb till våren,f.eks. Bytter jobb til våren,esim. Vaihdan työpaikkaa keväällä,
,,,,,,,,
I,Headline,My Notes,My Notes,Mine noter,Mina anteckningar,Mine notater,Muistiinpanoni,
,Subtitle,"Anything the numbers don’t capture — a job change coming, an inheritance you expect, a separation, a child starting college.","Anything the numbers don’t capture — a job change coming, an inheritance you expect, a separation, a child starting university.","Alt det tallene ikke fanger — et jobskifte på vej, en arv du forventer, en skilsmisse, et barn der skal læse.","Allt som siffrorna inte fångar — ett jobbyte på gång, ett arv du väntar, en separation, ett barn som ska studera.","Alt tallene ikke fanger — et jobbskifte på gang, en arv du venter, et samlivsbrudd, et barn som skal studere.","Kaikki mitä luvut eivät kerro — tuleva työpaikan vaihto, odotettu perintö, ero, lapsen opintojen alku.",
,Tip,Write these in full sentences — the AI advisory reads them and will factor them into its recommendations.,Write these in full sentences — the AI advisory reads them and will factor them into its recommendations.,Skriv i hele sætninger — AI-rådgivningen læser dem og tænker dem ind i sine anbefalinger.,Skriv i hela meningar — AI-rådgivningen läser dem och väger in dem i sina rekommendationer.,Skriv i hele setninger — AI-rådgivningen leser dem og tar dem med i anbefalingene.,Kirjoita kokonaisin lausein — AI-neuvonta lukee ne ja ottaa ne huomioon suosituksissaan.,
,Placeholder,e.g. Changing jobs in spring,e.g. Changing jobs in spring,f.eks. Skifter job til foråret,t.ex. Byter jobb till våren,f.eks. Bytter jobb til våren,esim. Vaihdan työpaikkaa keväällä,
,,,,,,,,
Currency,Currency,USD,GBP,DKK,SEK,NOK,EUR,EUR
,,,,,,,,
Guide,Headline,How to fill in your wealth blocks,How to fill in your wealth blocks,Sådan udfylder du dine formueblokke,Så här fyller du i dina förmögenhetsblock,Slik fyller du ut formuesblokkene dine,Näin täytät varallisuuslohkosi,
,Subtitle,Five minutes now is enough. You can refine it later.,Five minutes now is enough. You can refine it later.,Fem minutter er nok til at starte. Du kan finjustere senere.,Fem minuter räcker för att börja. Du kan finjustera senare.,Fem minutter er nok til å starte. Du kan finjustere senere.,Viisi minuuttia riittää alkuun. Voit tarkentaa myöhemmin.,
,Step1,"Start with Monthly Income (J) and Monthly Spending (K). They drive every forecast on this page, and they are the two blocks you already know the answers to.","Start with Monthly Income (J) and Monthly Outgoings (K). They drive every forecast on this page, and they are the two blocks you already know the answers to.","Start med Månedlig indkomst (J) og Månedlige udgifter (K). De driver alle prognoser på siden — og det er de to felter, du allerede kender svarene på.",Börja med Månatlig inkomst (J) och Månatliga utgifter (K). De driver alla prognoser på sidan — och det är de två block du redan vet svaren på.,Start med Månedlig inntekt (J) og Månedlige utgifter (K). De driver alle prognosene på siden — og det er de to feltene du allerede vet svaret på.,Aloita kohdista Kuukausitulot (J) ja Kuukausittaiset menot (K). Ne ohjaavat kaikkia sivun ennusteita — ja niihin osaat jo vastata.,
,Step2,"Each row has a name, an amount, and an optional notes field. Put anything useful in the name or the notes — the bank, the interest rate, when it unlocks: “Chase mortgage 4.8%, fixed to 2030”. The amount field takes whole numbers only.","Each row has a name, an amount, and an optional notes field. Put anything useful in the name or the notes — the bank, the interest rate, when it unlocks: “HSBC mortgage 4.8%, fixed to 2030”. The amount field takes whole numbers only.","Hver række har et navn, et beløb og et valgfrit notefelt. Skriv alt nyttigt i navnet eller noten — banken, renten, hvornår pengene frigives: “Realkredit 4,8%, fast til 2030”. Beløbsfeltet tager kun hele tal.","Varje rad har ett namn, ett belopp och ett valfritt anteckningsfält. Skriv allt användbart i namnet eller anteckningen — banken, räntan, när pengarna frigörs: “Bolån 4,8%, bundet till 2030”. Beloppsfältet tar bara heltal.","Hver rad har et navn, et beløp og et valgfritt notatfelt. Skriv alt nyttig i navnet eller notatet — banken, renten, når pengene frigis: “Boliglån 4,8%, fast til 2030”. Beløpsfeltet tar bare hele tall.","Jokaisella rivillä on nimi, summa ja vapaaehtoinen muistiinpanokenttä. Kirjoita kaikki hyödyllinen nimeen tai muistiinpanoon — pankki, korko, milloin vapautuu: “Asuntolaina 4,8%, kiinteä 2030 asti”. Summakenttään käyvät vain kokonaisluvut.",
,Step3,"Assets on the left, debts on the right. For a debt, enter the balance you still owe — the monthly payment goes in Monthly Spending (K) instead. Getting that split right is what makes the numbers work.","Assets on the left, debts on the right. For a debt, enter the balance you still owe — the monthly payment goes in Monthly Outgoings (K) instead. Getting that split right is what makes the numbers work.","Aktiver til venstre, gæld til højre. Ved gæld skriver du restgælden — den månedlige ydelse hører til i Månedlige udgifter (K). Det er den opdeling, der får tallene til at hænge sammen.","Tillgångar till vänster, skulder till höger. För en skuld skriver du kvarvarande belopp — månadsbetalningen hör hemma i Månatliga utgifter (K). Det är den uppdelningen som får siffrorna att gå ihop.","Eiendeler til venstre, gjeld til høyre. For gjeld skriver du restgjelden — månedsbeløpet hører hjemme i Månedlige utgifter (K). Det er den delingen som får tallene til å gå opp.","Varat vasemmalla, velat oikealla. Velkaan kirjaat jäljellä olevan summan — kuukausierä kuuluu kohtaan Kuukausittaiset menot (K). Tämä jako saa luvut täsmäämään.",
,Step4,"Not sure which block? Each one tells you what does not belong in it and where to put it instead. When two blocks could fit, pick by how quickly you could turn it into cash.","Not sure which block? Each one tells you what does not belong in it and where to put it instead. When two blocks could fit, pick by how quickly you could turn it into cash.","I tvivl om hvilket felt? Hvert felt fortæller hvad der ikke hører til, og hvor det skal stå i stedet. Passer to felter, så vælg efter hvor hurtigt du kan lave det om til kontanter.","Osäker på vilket block? Varje block berättar vad som inte hör hemma där och var det ska stå i stället. Passar två block, välj efter hur snabbt du kan göra om det till kontanter.","Usikker på hvilket felt? Hvert felt forteller hva som ikke hører hjemme der, og hvor det skal stå i stedet. Passer to felt, velg etter hvor raskt du kan gjøre det om til kontanter.","Epävarma lohkosta? Jokainen lohko kertoo mikä ei sinne kuulu ja mihin se kuuluu. Jos kaksi sopisi, valitse sen mukaan kuinka nopeasti saat sen rahaksi.",
,Step5,Add as many rows as you like with Add row. Nothing is kept until you press Save record at the top. Amounts are stored rounded to the nearest 100.,Add as many rows as you like with Add row. Nothing is kept until you press Save record at the top. Amounts are stored rounded to the nearest 100.,"Tilføj lige så mange rækker du vil med Tilføj række. Intet gemmes, før du trykker Gem post øverst. Beløb gemmes afrundet til nærmeste 100.",Lägg till hur många rader du vill med Lägg till rad. Inget sparas förrän du trycker Spara post högst upp. Belopp sparas avrundade till närmaste 100.,Legg til så mange rader du vil med Legg til rad. Ingenting lagres før du trykker Lagre post øverst. Beløp lagres avrundet til nærmeste 100.,Lisää rivejä niin monta kuin haluat painikkeella Lisää rivi. Mitään ei tallenneta ennen kuin painat Tallenna ylhäällä. Summat tallennetaan pyöristettynä lähimpään sataan.,
,DetailPlaceholder,"Provider, rate, notes (optional)","Provider, rate, notes (optional)","Udbyder, rente, note (valgfri)","Leverantör, ränta, notering (frivillig)","Tilbyder, rente, notat (valgfritt)","Palveluntarjoaja, korko, muistiinpano (vapaaehtoinen)",
,SectionStart,Start here,Start here,Start her,Börja här,Start her,Aloita tästä,
,SectionBalance,What you own and owe,What you own and owe,Hvad du ejer og skylder,Vad du äger och är skyldig,Hva du eier og skylder,Mitä omistat ja olet velkaa,
,SectionAdvanced,Show advanced blocks,Show advanced blocks,Vis avancerede felter,Visa avancerade block,Vis avanserte felter,Näytä lisälohkot,
,SectionAdvancedHint,Most people can leave these empty.,Most people can leave these empty.,De fleste kan lade disse stå tomme.,De flesta kan lämna dessa tomma.,De fleste kan la disse stå tomme.,Useimmat voivat jättää nämä tyhjiksi.,
,SectionNotes,Notes,Notes,Noter,Anteckningar,Notater,Muistiinpanot,
,Disclaimer,"PlanHumans is a planning tool, not financial advice. Forecasts are simple projections based on the assumptions you set — they are not a prediction of what will happen.","PlanHumans is a planning tool, not financial advice. Forecasts are simple projections based on the assumptions you set — they are not a prediction of what will happen.","PlanHumans er et planlægningsværktøj, ikke finansiel rådgivning. Prognoserne er simple fremskrivninger baseret på de forudsætninger, du selv sætter — ikke en forudsigelse af hvad der sker.","PlanHumans är ett planeringsverktyg, inte finansiell rådgivning. Prognoserna är enkla framskrivningar baserade på de antaganden du själv anger — inte en förutsägelse om vad som kommer att hända.","PlanHumans er et planleggingsverktøy, ikke finansiell rådgivning. Prognosene er enkle framskrivninger basert på forutsetningene du selv setter — ikke en spådom om hva som vil skje.","PlanHumans on suunnittelutyökalu, ei sijoitusneuvontaa. Ennusteet ovat yksinkertaisia laskelmia asettamillasi oletuksilla — eivät ennuste siitä mitä tapahtuu.",
,PremiumNote,"Some features (adding goals, unlimited AI suggestions) are for premium users. Donate 10 USD to unlock premium for 1 year. PlanHumans is a non-profit — donations go toward making the solution better, more secure, and helping cover advertising costs.","Some features (adding goals, unlimited AI suggestions) are for premium users. Donate 10 USD to unlock premium for 1 year. PlanHumans is a non-profit — donations go toward making the solution better, more secure, and helping cover advertising costs.","Nogle funktioner (tilføjelse af mål, ubegrænsede AI-forslag) er kun for premium-brugere. Donér 10 USD for at låse premium op i 1 år. PlanHumans er non-profit — donationer går til at gøre løsningen bedre, mere sikker og til at dække annonceudgifter.","Vissa funktioner (att lägga till mål, obegränsade AI-förslag) är endast för premiumanvändare. Donera 10 USD för att låsa upp premium i 1 år. PlanHumans är en ideell tjänst — donationer går till att göra lösningen bättre, säkrare och till att täcka annonskostnader.","Enkelte funksjoner (å legge til mål, ubegrensede AI-forslag) er kun for premium-brukere. Doner 10 USD for å låse opp premium i 1 år. PlanHumans er ideelt — donasjoner går til å gjøre løsningen bedre, sikrere og til å dekke annonsekostnader.","Jotkin ominaisuudet (tavoitteiden lisääminen, rajattomat tekoälyehdotukset) ovat vain premium-käyttäjille. Lahjoita 10 USD avataksesi premiumin vuodeksi. PlanHumans on voittoa tavoittelematon — lahjoitukset menevät ratkaisun parantamiseen, turvallisuuden lisäämiseen ja mainoskulujen kattamiseen.",
